antecedents,consequents
"flour,wine,wine red",beef
"beef,flour,wine",wine red
"flour,wine","beef,wine red"
"wine,wine red","beef,flour"
"beef,wine","flour,wine red"
wine,"beef,flour,wine red"
"flour,wine,wine white",beef
"beef,wine,wine white",flour
"wine,wine white","beef,flour"
"beef,grapefruit,orange",wine red
"beef,grapefruit,sponge cake",wine red
"grapefruit,sponge cake","beef,wine red"
"beef,grapefruit,wine white",wine red
"lime,orange,wine red",beef
"beef,lime,orange",wine red
"lime,orange","beef,wine red"
"lime,wine red,wine white",beef
"mushroom,orange,wine red",beef
"mushroom,wine red,wine white",beef
"beef,orange,pasta",wine red
"orange,pasta","beef,wine red"
"beef,orange,potato",wine red
"orange,potato","beef,wine red"
"beef,orange,soft drink",wine red
"orange,soft drink","beef,wine red"
"beef,orange,sponge cake",wine red
"orange,sponge cake","beef,wine red"
"beef,orange,veal",wine red
"orange,water,wine red",beef
"beef,orange,wine",wine red
"orange,wine","beef,wine red"
"beef,pasta,wine white",wine red
"pasta,wine white","beef,wine red"
"pork,scallop,wine red",beef
"beef,pork,soft drink",wine red
"pork,soft drink","beef,wine red"
"beef,pork,sponge cake",wine red
"pork,sponge cake","beef,wine red"
"pork,water,wine red",beef
"beef,potato,wine white",wine red
"potato,wine white","beef,wine red"
"scallop,sponge cake,wine red",beef
"beef,scallop,sponge cake",wine red
"scallop,sponge cake","beef,wine red"
"scallop,veal,wine red",beef
"soft drink,sponge cake,wine red",beef
"beef,soft drink,sponge cake",wine red
"soft drink,sponge cake","beef,wine red"
"beef,soft drink,wine white",wine red
"soft drink,wine white","beef,wine red"
"beef,sponge cake,veal",wine red
"sponge cake,veal","beef,wine red"
"sponge cake,water,wine red",beef
"sponge cake,water","beef,wine red"
"sponge cake,wine red,wine white",beef
"beef,sponge cake,wine white",wine red
"sponge cake,wine white","beef,wine red"
"water,wine red,wine white",beef
"wine,wine red,wine white",beef
"beef,wine,wine white",wine red
"wine,wine white","beef,wine red"
"butter,chocolate,flour",wine red
"butter,chocolate,wine red",flour
"butter,chocolate","flour,wine red"
"butter,flour,wine red",coffee
"butter,coffee,flour",wine red
"butter,coffee,wine red",flour
"butter,wine red","coffee,flour"
"butter,coffee","flour,wine red"
"butter,orange,wine red",flour
"butter,orange","flour,wine red"
"butter,wine red,wine white",flour
"butter,wine white","flour,wine red"
"chicken,chocolate,wine red",flour
"chicken,flour,wine red",coffee
"chicken,coffee","flour,wine red"
"chicken,flour,wine white",coffee
"chicken,coffee,wine white",flour
"chicken,wine red,wine white",coffee
"chicken,coffee,wine white",wine red
"chicken,flour,sponge cake",wine red
"chicken,sponge cake","flour,wine red"
"chicken,veal,wine red",flour
"chicken,wine red,wine white",flour
"chocolate,coffee,orange",flour
"chocolate,coffee,pork",flour
"chocolate,flour,pork",coffee
"chocolate,coffee,sponge cake",flour
"chocolate,flour,veal",coffee
"chocolate,coffee,veal",flour
"chocolate,flour,wine red",coffee
"chocolate,coffee,wine red",flour
"chocolate,coffee","flour,wine red"
"chocolate,flour,wine white",coffee
"chocolate,coffee,wine white",flour
"chocolate,orange,wine red",coffee
"chocolate,coffee,orange",wine red
"chocolate,pork,wine red",coffee
"chocolate,sponge cake,wine red",coffee
"chocolate,coffee,sponge cake",wine red
"chocolate,veal,wine red",coffee
"chocolate,wine red,wine white",coffee
"chocolate,coffee,wine white",wine red
"chocolate,orange,wine red",flour
"chocolate,orange","flour,wine red"
"chocolate,orange,wine white",flour
"chocolate,pork,wine red",flour
"chocolate,soft drink,wine red",flour
"chocolate,soft drink","flour,wine red"
"chocolate,sponge cake,wine red",flour
"chocolate,sponge cake","flour,wine red"
"chocolate,veal,wine red",flour
"chocolate,veal","flour,wine red"
"chocolate,wine red,wine white",flour
"corn flour,flour,wine red",coffee
"corn flour,flour,wine white",coffee
"coffee,corn flour,wine white",flour
"corn flour,wine red,wine white",coffee
"flour,fruit juice,wine red",coffee
"coffee,flour,fruit juice",wine red
"coffee,fruit juice,wine red",flour
"coffee,fruit juice","flour,wine red"
"coffee,flour,grapefruit",wine red
"coffee,grapefruit,wine red",flour
"coffee,grapefruit","flour,wine red"
"flour,lime,wine red",coffee
"coffee,flour,lime",wine red
"coffee,lime","flour,wine red"
"coffee,mushroom,wine red",flour
"coffee,mushroom","flour,wine red"
"coffee,orange,pork",flour
"coffee,orange,veal",flour
"coffee,flour,orange",wine red
"coffee,orange","flour,wine red"
"coffee,orange,wine white",flour
"coffee,flour,pasta",wine red
"coffee,pasta,wine red",flour
"coffee,pasta","flour,wine red"
"flour,pork,sponge cake",coffee
"coffee,pork,sponge cake",flour
"coffee,pork,veal",flour
"flour,pork,wine red",coffee
"coffee,pork","flour,wine red"
"flour,pork,wine white",coffee
"coffee,pork,wine white",flour
"flour,potato,wine red",coffee
"coffee,flour,potato",wine red
"coffee,potato,wine red",flour
"coffee,potato","flour,wine red"
"coffee,flour,soft drink",wine red
"coffee,sponge cake,veal",flour
"flour,sponge cake,wine red",coffee
"coffee,flour,sponge cake",wine red
"coffee,sponge cake","flour,wine red"
"flour,sponge cake,wine white",coffee
"coffee,sponge cake,wine white",flour
"flour,veal,wine red",coffee
"coffee,flour,veal",wine red
"coffee,veal","flour,wine red"
"flour,veal,wine white",coffee
"coffee,veal,wine white",flour
"flour,water,wine red",coffee
"flour,water,wine white",coffee
"flour,wine,wine red",coffee
"coffee,flour,wine",wine red
"coffee,wine","flour,wine red"
"flour,wine red,wine white",coffee
"coffee,flour,wine white",wine red
"coffee,wine white","flour,wine red"
"coffee,orange,pork",wine red
"coffee,orange,sponge cake",wine red
"orange,veal,wine red",coffee
"coffee,orange,veal",wine red
"orange,wine red,wine white",coffee
"coffee,orange,wine white",wine red
"pork,sponge cake,wine red",coffee
"coffee,pork,sponge cake",wine red
"pork,wine red,wine white",coffee
"coffee,pork,wine white",wine red
"coffee,soft drink,wine white",wine red
"sponge cake,veal,wine red",coffee
"coffee,sponge cake,veal",wine red
"sponge cake,wine red,wine white",coffee
"coffee,sponge cake,wine white",wine red
"veal,wine red,wine white",coffee
"coffee,veal,wine white",wine red
"corn flour,flour,sponge cake",wine red
"corn flour,sponge cake","flour,wine red"
"fruit juice,wine red,wine white",flour
"grapefruit,orange","flour,wine red"
"flour,grapefruit,wine white",wine red
"grapefruit,wine red,wine white",flour
"grapefruit,wine white","flour,wine red"
"flour,lime,orange",wine red
"lime,orange","flour,wine red"
"mushroom,wine red,wine white",flour
"flour,orange,soft drink",wine red
"orange,soft drink","flour,wine red"
"flour,orange,sponge cake",wine red
"orange,sponge cake","flour,wine red"
"orange,sponge cake,wine white",flour
"orange,veal","flour,wine red"
"orange,veal,wine white",flour
"flour,pasta,wine white",wine red
"pasta,wine red,wine white",flour
"pasta,wine white","flour,wine red"
"pork,soft drink","flour,wine red"
"pork,sponge cake,wine red",flour
"flour,pork,sponge cake",wine red
"pork,sponge cake","flour,wine red"
"pork,veal,wine red",flour
"pork,veal","flour,wine red"
"flour,potato,wine white",wine red
"potato,wine white","flour,wine red"
"flour,soft drink,sponge cake",wine red
"soft drink,sponge cake","flour,wine red"
"soft drink,veal,wine red",flour
"flour,soft drink,wine white",wine red
"soft drink,wine white","flour,wine red"
"flour,sponge cake,veal",wine red
"sponge cake,veal,wine red",flour
"sponge cake,veal","flour,wine red"
"flour,sponge cake,wine white",wine red
"sponge cake,wine red,wine white",flour
"sponge cake,wine white","flour,wine red"
"veal,wine red,wine white",flour
"veal,wine white","flour,wine red"
"flour,wine,wine white",wine red
"wine,wine red,wine white",flour
"wine,wine white","flour,wine red"
"orange,sponge cake,wine white",wine red
"banana,beef,flour,wine red",coffee
"banana,flour,wine red","beef,coffee"
"banana,coffee,flour","beef,wine red"
"beef,butter,chocolate,flour",wine red
"beef,butter,chocolate,wine red",flour
"butter,chocolate,flour","beef,wine red"
"beef,butter,chocolate","flour,wine red"
"butter,chocolate,wine red","beef,flour"
"butter,chocolate","beef,flour,wine red"
"beef,butter,flour,wine red",coffee
"beef,butter,coffee,flour",wine red
"butter,coffee,flour,wine red",beef
"beef,butter,coffee,wine red",flour
"butter,flour,wine red","beef,coffee"
"butter,coffee,flour","beef,wine red"
"beef,butter,wine red","coffee,flour"
"beef,butter,coffee","flour,wine red"
"butter,coffee,wine red","beef,flour"
"butter,coffee","beef,flour,wine red"
"butter,flour,wine red,wine white",beef
"beef,butter,wine red,wine white",flour
"beef,butter,wine white","flour,wine red"
"butter,wine red,wine white","beef,flour"
"butter,wine white","beef,flour,wine red"
"beef,chicken,chocolate,wine red",flour
"beef,chicken,flour,wine red",coffee
"chicken,coffee","beef,flour,wine red"
"beef,chicken,flour,wine white",coffee
"beef,chicken,coffee,wine white",flour
"chicken,flour,wine white","beef,coffee"
"chicken,coffee,wine white","beef,flour"
"beef,chicken,wine red,wine white",coffee
"beef,chicken,coffee,wine white",wine red
"chicken,wine red,wine white","beef,coffee"
"chicken,coffee,wine white","beef,wine red"
"beef,chicken,sponge cake","flour,wine red"
"chicken,sponge cake","beef,flour,wine red"
"beef,chicken,wine red,wine white",flour
"chocolate,coffee,flour,orange",beef
"beef,chocolate,coffee,orange",flour
"chocolate,coffee,orange","beef,flour"
"beef,chocolate,flour,pork",coffee
"beef,chocolate,coffee,pork",flour
"chocolate,flour,pork","beef,coffee"
"chocolate,coffee,pork","beef,flour"
"beef,chocolate,flour,sponge cake",coffee
"chocolate,coffee,flour,sponge cake",beef
"beef,chocolate,coffee,sponge cake",flour
"chocolate,coffee,sponge cake","beef,flour"
"beef,chocolate,flour,veal",coffee
"beef,chocolate,coffee,veal",flour
"chocolate,coffee,veal","beef,flour"
"beef,chocolate,flour,wine red",coffee
"chocolate,coffee,flour,wine red",beef
"beef,chocolate,coffee,wine red",flour
"chocolate,flour,wine red","beef,coffee"
"beef,chocolate,coffee","flour,wine red"
"chocolate,coffee,wine red","beef,flour"
"chocolate,coffee","beef,flour,wine red"
"beef,chocolate,flour,wine white",coffee
"beef,chocolate,coffee,wine white",flour
"chocolate,flour,wine white","beef,coffee"
"chocolate,coffee,wine white","beef,flour"
"beef,chocolate,orange,wine red",coffee
"beef,chocolate,coffee,orange",wine red
"chocolate,coffee,orange,wine red",beef
"chocolate,coffee,orange","beef,wine red"
"beef,chocolate,pork,wine red",coffee
"chocolate,pork,wine red","beef,coffee"
"beef,chocolate,sponge cake,wine red",coffee
"beef,chocolate,coffee,sponge cake",wine red
"chocolate,coffee,sponge cake,wine red",beef
"chocolate,sponge cake,wine red","beef,coffee"
"chocolate,coffee,sponge cake","beef,wine red"
"beef,chocolate,veal,wine red",coffee
"chocolate,veal,wine red","beef,coffee"
"chocolate,coffee,veal","beef,wine red"
"beef,chocolate,wine red,wine white",coffee
"chocolate,wine red,wine white","beef,coffee"
"chocolate,coffee,wine white","beef,wine red"
"chocolate,corn flour,flour,wine red",beef
"beef,chocolate,orange,wine red",flour
"beef,chocolate,orange","flour,wine red"
"chocolate,orange,wine red","beef,flour"
"chocolate,orange","beef,flour,wine red"
"beef,chocolate,orange,wine white",flour
"chocolate,orange,wine white","beef,flour"
"beef,chocolate,pork,wine red",flour
"beef,chocolate,soft drink,wine red",flour
"beef,chocolate,soft drink","flour,wine red"
"chocolate,soft drink,wine red","beef,flour"
"chocolate,soft drink","beef,flour,wine red"
"beef,chocolate,sponge cake,wine red",flour
"beef,chocolate,sponge cake","flour,wine red"
"chocolate,sponge cake,wine red","beef,flour"
"chocolate,sponge cake","beef,flour,wine red"
"beef,chocolate,veal,wine red",flour
"beef,chocolate,veal","flour,wine red"
"chocolate,veal,wine red","beef,flour"
"chocolate,veal","beef,flour,wine red"
"beef,chocolate,wine red,wine white",flour
"chocolate,wine red,wine white","beef,flour"
"beef,corn flour,flour,wine red",coffee
"coffee,corn flour,flour,wine red",beef
"corn flour,flour,wine red","beef,coffee"
"coffee,corn flour,flour","beef,wine red"
"coffee,corn flour","beef,flour,wine red"
"beef,corn flour,flour,wine white",coffee
"coffee,corn flour,flour,wine white",beef
"corn flour,flour,wine white","beef,coffee"
"coffee,corn flour,wine white","beef,flour"
"beef,corn flour,wine red,wine white",coffee
"coffee,corn flour,wine red,wine white",beef
"corn flour,wine red,wine white","beef,coffee"
"coffee,corn flour,wine white","beef,wine red"
"beef,flour,fruit juice,wine red",coffee
"beef,coffee,fruit juice,wine red",flour
"beef,coffee,flour,fruit juice",wine red
"flour,fruit juice,wine red","beef,coffee"
"coffee,flour,fruit juice","beef,wine red"
"beef,coffee,fruit juice","flour,wine red"
"coffee,fruit juice","beef,flour,wine red"
"beef,coffee,flour,grapefruit",wine red
"beef,coffee,grapefruit,wine red",flour
"coffee,flour,grapefruit","beef,wine red"
"beef,coffee,grapefruit","flour,wine red"
"coffee,grapefruit","beef,flour,wine red"
"beef,flour,lime,wine red",coffee
"beef,coffee,flour,lime",wine red
"coffee,flour,lime,wine red",beef
"flour,lime,wine red","beef,coffee"
"coffee,flour,lime","beef,wine red"
"beef,coffee,lime","flour,wine red"
"coffee,lime","beef,flour,wine red"
"coffee,flour,mushroom,wine red",beef
"beef,coffee,mushroom,wine red",flour
"coffee,mushroom,wine red","beef,flour"
"coffee,mushroom","beef,flour,wine red"
"beef,coffee,orange,pork",flour
"coffee,orange,pork","beef,flour"
"beef,coffee,orange,veal",flour
"coffee,orange,veal","beef,flour"
"beef,coffee,flour,orange",wine red
"coffee,flour,orange","beef,wine red"
"beef,coffee,orange","flour,wine red"
"coffee,orange","beef,flour,wine red"
"beef,coffee,flour,pasta",wine red
"beef,coffee,pasta,wine red",flour
"coffee,flour,pasta","beef,wine red"
"beef,coffee,pasta","flour,wine red"
"coffee,pasta,wine red","beef,flour"
"coffee,pasta","beef,flour,wine red"
"beef,flour,pork,sponge cake",coffee
"coffee,flour,pork,sponge cake",beef
"beef,coffee,pork,sponge cake",flour
"flour,pork,sponge cake","beef,coffee"
"coffee,pork,sponge cake","beef,flour"
"coffee,flour,pork,veal",beef
"beef,coffee,pork,veal",flour
"coffee,pork,veal","beef,flour"
"beef,flour,pork,wine red",coffee
"coffee,pork","beef,flour,wine red"
"beef,flour,pork,wine white",coffee
"beef,coffee,pork,wine white",flour
"flour,pork,wine white","beef,coffee"
"coffee,pork,wine white","beef,flour"
"beef,flour,potato,wine red",coffee
"beef,coffee,flour,potato",wine red
"beef,coffee,potato,wine red",flour
"flour,potato,wine red","beef,coffee"
"coffee,flour,potato","beef,wine red"
"beef,coffee,potato","flour,wine red"
"coffee,potato,wine red","beef,flour"
"coffee,potato","beef,flour,wine red"
"coffee,flour,scallop,wine red",beef
"coffee,flour,scallop,wine white",beef
"beef,coffee,flour,soft drink",wine red
"coffee,flour,soft drink,wine red",beef
"coffee,flour,soft drink","beef,wine red"
"coffee,flour,soft drink,wine white",beef
"beef,flour,sponge cake,veal",coffee
"beef,coffee,sponge cake,veal",flour
"coffee,sponge cake,veal","beef,flour"
"beef,flour,sponge cake,wine red",coffee
"beef,coffee,flour,sponge cake",wine red
"coffee,flour,sponge cake,wine red",beef
"flour,sponge cake,wine red","beef,coffee"
"coffee,flour,sponge cake","beef,wine red"
"beef,coffee,sponge cake","flour,wine red"
"coffee,sponge cake,wine red","beef,flour"
"coffee,sponge cake","beef,flour,wine red"
"beef,flour,sponge cake,wine white",coffee
"coffee,flour,sponge cake,wine white",beef
"beef,coffee,sponge cake,wine white",flour
"flour,sponge cake,wine white","beef,coffee"
"coffee,sponge cake,wine white","beef,flour"
"beef,flour,veal,wine red",coffee
"coffee,flour,veal,wine red",beef
"flour,veal,wine red","beef,coffee"
"coffee,flour,veal","beef,wine red"
"beef,coffee,veal","flour,wine red"
"coffee,veal,wine red","beef,flour"
"coffee,veal","beef,flour,wine red"
"beef,flour,veal,wine white",coffee
"coffee,flour,veal,wine white",beef
"beef,coffee,veal,wine white",flour
"flour,veal,wine white","beef,coffee"
"coffee,veal,wine white","beef,flour"
"beef,flour,water,wine red",coffee
"coffee,flour,water,wine red",beef
"flour,water,wine red","beef,coffee"
"beef,flour,wine,wine red",coffee
"beef,coffee,flour,wine",wine red
"coffee,flour,wine,wine red",beef
"flour,wine,wine red","beef,coffee"
"coffee,flour,wine","beef,wine red"
"beef,coffee,wine","flour,wine red"
"coffee,wine,wine red","beef,flour"
"coffee,wine","beef,flour,wine red"
"beef,flour,wine red,wine white",coffee
"beef,coffee,flour,wine white",wine red
"flour,wine red,wine white","beef,coffee"
"coffee,flour,wine white","beef,wine red"
"beef,coffee,wine white","flour,wine red"
"coffee,wine white","beef,flour,wine red"
"beef,coffee,orange,pork",wine red
"coffee,orange,pork","beef,wine red"
"beef,coffee,orange,sponge cake",wine red
"coffee,orange,sponge cake","beef,wine red"
"beef,orange,veal,wine red",coffee
"beef,coffee,orange,veal",wine red
"coffee,orange,veal","beef,wine red"
"beef,orange,wine red,wine white",coffee
"beef,coffee,orange,wine white",wine red
"orange,wine red,wine white","beef,coffee"
"coffee,orange,wine white","beef,wine red"
"beef,pork,sponge cake,wine red",coffee
"beef,coffee,pork,sponge cake",wine red
"coffee,pork,sponge cake,wine red",beef
"pork,sponge cake,wine red","beef,coffee"
"coffee,pork,sponge cake","beef,wine red"
"beef,pork,veal,wine red",coffee
"coffee,pork,veal,wine red",beef
"beef,pork,wine red,wine white",coffee
"beef,coffee,pork,wine white",wine red
"pork,wine red,wine white","beef,coffee"
"coffee,pork,wine white","beef,wine red"
"coffee,scallop,wine red,wine white",beef
"beef,coffee,soft drink,wine white",wine red
"coffee,soft drink,wine red,wine white",beef
"coffee,soft drink,wine white","beef,wine red"
"beef,sponge cake,veal,wine red",coffee
"beef,coffee,sponge cake,veal",wine red
"sponge cake,veal,wine red","beef,coffee"
"coffee,sponge cake,veal","beef,wine red"
"beef,sponge cake,wine red,wine white",coffee
"beef,coffee,sponge cake,wine white",wine red
"coffee,sponge cake,wine red,wine white",beef
"sponge cake,wine red,wine white","beef,coffee"
"coffee,sponge cake,wine white","beef,wine red"
"beef,veal,wine red,wine white",coffee
"beef,coffee,veal,wine white",wine red
"coffee,veal,wine red,wine white",beef
"veal,wine red,wine white","beef,coffee"
"coffee,veal,wine white","beef,wine red"
"corn flour,flour,orange,wine red",beef
"beef,corn flour,flour,sponge cake",wine red
"corn flour,flour,sponge cake,wine red",beef
"corn flour,flour,sponge cake","beef,wine red"
"beef,corn flour,sponge cake","flour,wine red"
"corn flour,sponge cake","beef,flour,wine red"
"corn flour,flour,veal,wine red",beef
"beef,flour,grapefruit,wine white",wine red
"beef,grapefruit,wine red,wine white",flour
"beef,grapefruit,wine white","flour,wine red"
"grapefruit,wine white","beef,flour,wine red"
"beef,flour,lime,orange",wine red
"flour,lime,orange,wine red",beef
"flour,lime,orange","beef,wine red"
"beef,lime,orange","flour,wine red"
"lime,orange","beef,flour,wine red"
"flour,lime,wine red,wine white",beef
"lime,wine red,wine white","beef,flour"
"lime,wine white","beef,flour,wine red"
"flour,mushroom,wine red,wine white",beef
"beef,mushroom,wine red,wine white",flour
"mushroom,wine red,wine white","beef,flour"
"beef,flour,orange,soft drink",wine red
"flour,orange,soft drink","beef,wine red"
"beef,orange,soft drink","flour,wine red"
"orange,soft drink","beef,flour,wine red"
"beef,flour,orange,sponge cake",wine red
"flour,orange,sponge cake","beef,wine red"
"beef,orange,sponge cake","flour,wine red"
"orange,sponge cake","beef,flour,wine red"
"beef,orange,sponge cake,wine white",flour
"beef,orange,veal","flour,wine red"
"orange,veal","beef,flour,wine red"
"beef,orange,veal,wine white",flour
"orange,veal,wine white","beef,flour"
"flour,orange,water,wine red",beef
"beef,flour,pasta,wine white",wine red
"beef,pasta,wine white","flour,wine red"
"pasta,wine white","beef,flour,wine red"
"beef,pork,soft drink","flour,wine red"
"pork,soft drink","beef,flour,wine red"
"beef,flour,pork,sponge cake",wine red
"beef,pork,sponge cake,wine red",flour
"flour,pork,sponge cake","beef,wine red"
"beef,pork,sponge cake","flour,wine red"
"pork,sponge cake","beef,flour,wine red"
"beef,pork,veal,wine red",flour
"pork,veal,wine red","beef,flour"
"beef,flour,potato,wine white",wine red
"flour,potato,wine white","beef,wine red"
"beef,potato,wine white","flour,wine red"
"potato,wine white","beef,flour,wine red"
"beef,flour,soft drink,sponge cake",wine red
"flour,soft drink,sponge cake","beef,wine red"
"beef,soft drink,sponge cake","flour,wine red"
"soft drink,sponge cake","beef,flour,wine red"
"beef,soft drink,veal,wine red",flour
"beef,sponge cake,veal,wine red",flour
"beef,sponge cake,veal","flour,wine red"
"sponge cake,veal,wine red","beef,flour"
"sponge cake,veal","beef,flour,wine red"
"beef,flour,sponge cake,wine white",wine red
"beef,sponge cake,wine red,wine white",flour
"flour,sponge cake,wine white","beef,wine red"
"beef,sponge cake,wine white","flour,wine red"
"sponge cake,wine red,wine white","beef,flour"
"sponge cake,wine white","beef,flour,wine red"
"beef,veal,wine red,wine white",flour
"beef,veal,wine white","flour,wine red"
"veal,wine red,wine white","beef,flour"
"veal,wine white","beef,flour,wine red"
"flour,water,wine red,wine white",beef
"beef,flour,wine,wine white",wine red
"flour,wine,wine red,wine white",beef
"beef,wine,wine red,wine white",flour
"flour,wine,wine white","beef,wine red"
"beef,wine,wine white","flour,wine red"
"wine,wine red,wine white","beef,flour"
"wine,wine white","beef,flour,wine red"
"beef,orange,sponge cake,wine white",wine red
"orange,sponge cake,wine white","beef,wine red"
"chicken,flour,wine red,wine white",coffee
"chicken,coffee,flour,wine white",wine red
"chicken,coffee,wine white","flour,wine red"
"chocolate,coffee,orange,wine red",flour
"chocolate,coffee,orange","flour,wine red"
"chocolate,flour,wine red,wine white",coffee
"chocolate,coffee,wine red,wine white",flour
"chocolate,coffee,wine white","flour,wine red"
"coffee,orange,pork","flour,wine red"
"coffee,flour,orange,sponge cake",wine red
"coffee,orange,sponge cake","flour,wine red"
"flour,orange,wine red,wine white",coffee
"coffee,flour,orange,wine white",wine red
"coffee,orange,wine white","flour,wine red"
"flour,pork,wine red,wine white",coffee
"coffee,pork,wine white","flour,wine red"
"flour,sponge cake,wine red,wine white",coffee
"coffee,flour,sponge cake,wine white",wine red
"coffee,sponge cake,wine red,wine white",flour
"coffee,sponge cake,wine white","flour,wine red"
"flour,veal,wine red,wine white",coffee
"coffee,flour,veal,wine white",wine red
"coffee,veal,wine red,wine white",flour
"coffee,veal,wine white","flour,wine red"
"beef,chicken,flour,wine red,wine white",coffee
"chicken,flour,wine red,wine white","beef,coffee"
"beef,chicken,coffee,wine white","flour,wine red"
"chicken,coffee,wine white","beef,flour,wine red"
"beef,chocolate,coffee,orange,wine red",flour
"beef,chocolate,coffee,orange","flour,wine red"
"chocolate,coffee,orange,wine red","beef,flour"
"chocolate,coffee,orange","beef,flour,wine red"
"beef,chocolate,flour,wine red,wine white",coffee
"beef,chocolate,coffee,wine red,wine white",flour
"chocolate,flour,wine red,wine white","beef,coffee"
"beef,chocolate,coffee,wine white","flour,wine red"
"chocolate,coffee,wine red,wine white","beef,flour"
"chocolate,coffee,wine white","beef,flour,wine red"
"beef,coffee,orange,pork","flour,wine red"
"coffee,orange,pork","beef,flour,wine red"
"beef,flour,orange,wine red,wine white",coffee
"beef,coffee,flour,orange,wine white",wine red
"flour,orange,wine red,wine white","beef,coffee"
"coffee,flour,orange,wine white","beef,wine red"
"beef,coffee,orange,wine white","flour,wine red"
"coffee,orange,wine white","beef,flour,wine red"
"beef,flour,pork,wine red,wine white",coffee
"flour,pork,wine red,wine white","beef,coffee"
"beef,coffee,pork,wine white","flour,wine red"
"coffee,pork,wine white","beef,flour,wine red"
"beef,flour,sponge cake,wine red,wine white",coffee
"beef,coffee,flour,sponge cake,wine white",wine red
"coffee,flour,sponge cake,wine red,wine white",beef
"beef,coffee,sponge cake,wine red,wine white",flour
"flour,sponge cake,wine red,wine white","beef,coffee"
"coffee,flour,sponge cake,wine white","beef,wine red"
"beef,coffee,sponge cake,wine white","flour,wine red"
"coffee,sponge cake,wine red,wine white","beef,flour"
"coffee,sponge cake,wine white","beef,flour,wine red"
"beef,flour,veal,wine red,wine white",coffee
"beef,coffee,flour,veal,wine white",wine red
"coffee,flour,veal,wine red,wine white",beef
"beef,coffee,veal,wine red,wine white",flour
"flour,veal,wine red,wine white","beef,coffee"
"coffee,flour,veal,wine white","beef,wine red"
"beef,coffee,veal,wine white","flour,wine red"
"coffee,veal,wine red,wine white","beef,flour"
"coffee,veal,wine white","beef,flour,wine red"
